Date,Close,High,Low,Open,Volume
1991-04-01,13.082517623901367,15.571039998013038,11.37610228165336,11.37610228165336,2433100
1991-05-01,14.362335205078123,14.717838551738476,12.584818471776378,13.082523157100868,11655700
1991-06-01,13.011417388916016,14.504530859775231,12.300410974221151,14.362329576836258,8048200
1991-07-01,15.642148971557615,15.642148971557615,12.940323240106755,13.082524594393645,5885100
1991-08-01,15.71324634552002,16.495353629686175,14.36233376377848,15.571045021126174,5291600
1991-09-01,15.85610008239746,16.717064792753884,15.210376549630144,15.784353023201092,3954600
1991-10-01,16.860546112060547,17.07578712625706,15.497353022149268,15.85608804581013,3494400
1991-11-01,14.636399269104004,17.362787368250828,14.349411048141182,17.075799147288006,4711300
1991-12-01,15.84464168548584,15.91699164752002,13.6017928624262,14.542342368870564,3709300
1992-01-01,14.687045097351074,17.219294252066778,14.180595266407934,15.916994686784417,5076800
1992-02-01,14.90408992767334,15.121139780988972,13.674140758884764,14.469990221042078,5217800
1992-03-01,14.248623847961426,16.294580092796913,14.102484116187462,15.052392372718224,3970100
1992-04-01,15.271597862243652,15.417737554705315,13.006432629087897,14.24862001501202,4074900
1992-05-01,14.39475917816162,15.490806831321134,14.39475917816162,15.417736987777166,2527400
1992-06-01,16.82325553894043,17.118400372956927,14.388310658304317,14.60966928381669,7624400
1992-07-01,16.528120040893555,17.930058794362203,15.568898788520269,16.970837541988917,6000400
1992-08-01,15.49510669708252,17.04461736679077,14.166954694475448,16.528113810221356,2906500
1992-09-01,14.666839599609377,15.85805499856242,14.592388637174809,15.634702111258724,3034500
1992-10-01,15.11354160308838,16.006952929379317,13.177817062791345,14.592384996085332,5126100
1992-11-01,18.46384048461914,18.46384048461914,14.66684103012085,15.11354684829712,5575700
1992-12-01,20.452163696289062,20.677739031174603,17.820451455957752,18.572369238909555,4880700
1993-01-01,22.106388092041016,23.0086896468182,18.94833265032087,20.301784982486648,7662900
1993-02-01,22.40715408325196,24.286948888893896,21.42966078431814,21.88081153767221,8346000
1993-03-01,24.074750900268555,25.13464559399107,21.046480346775656,22.484908859684783,9255200
1993-04-01,25.891733169555664,26.19456045808848,21.50073748582985,24.07476943835877,6784700
1993-05-01,26.04313087463379,27.860093493794288,25.361769892448603,25.740303771440374,6675800
